"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 5"
"https://www.google.com/maps/place/Transport+Nagar+Metro+Station/data=!4m7!3m6!1s0x399c477ba8e0f033:0xf2e9929989bdb3e3!8m2!3d26.447922!4d80.3323317!16s%2Fg%2F11kqbr2dm3!19sChIJM_DgqHtHnDkR47O9iZmS6fI?authuser=0&hl=en&rclk=1","Transport Nagar Metro Station","4.5","(4)","Metropolitan train company","·","","·","No 133/552, Hamirpur Rd","","Website","","",""
"https://www.google.com/maps/place/Jarauli+Metro+Station/data=!4m7!3m6!1s0x399c471b95984675:0xc09a0b12d62b9af5!8m2!3d26.4193055!4d80.288874!16s%2Fg%2F11v5jmq3cm!19sChIJdUaYlRtHnDkR9Zor1hILmsA?authuser=0&hl=en&rclk=1","Jarauli Metro Station","5.0","(2)","Transportation service","·","","·","C79Q+PGH","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Its near ramgopal churaha  best place in kanpur""",""
"https://www.google.com/maps/place/Baradevi+Metro+station/data=!4m7!3m6!1s0x399c4714c0820f13:0x170f92ae551a5aaf!8m2!3d26.4390821!4d80.325024!16s%2Fg%2F11sz3k9_hs!19sChIJEw-CwBRHnDkRr1oaVa6SDxc?authuser=0&hl=en&rclk=1","Baradevi Metro station","4.0","(9)","Metropolitan train company","·","","·","C8QG+J2J, NH 34","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nice metro and very clean""",""
"https://www.google.com/maps/place/Agriculture+University+Metro+Station/data=!4m7!3m6!1s0x399c39e690862f97:0xc7fe3fca8eca25f7!8m2!3d26.4883362!4d80.3084161!16s%2Fg%2F11svg3n277!19sChIJly-GkOY5nDkR9yXKjso__sc?authuser=0&hl=en&rclk=1","Agriculture University Metro Station","","","Metropolitan train company","·","","·","F8Q5+925","","Website","","",""
"https://www.google.com/maps/place/Typsa+Italferr+GC+Kanpur+Metro+Office/data=!4m7!3m6!1s0x399c39690287efdb:0xe24e4f0fb8f5c602!8m2!3d26.4766715!4d80.2927933!16s%2Fg%2F11lm4dmw45!19sChIJ2--HAmk5nDkRAsb1uA9PTuI?authuser=0&hl=en&rclk=1","Typsa Italferr GC Kanpur Metro Office","4.1","(181)","Railway services","·","","F7GV+M47","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kanpur Metro rail is being built by them.""","Open"
"https://www.google.com/maps/place/Kanpur+Metro+Depot/data=!4m7!3m6!1s0x399c39bc84f6d883:0xf76fcddd5ad5297d!8m2!3d26.4907389!4d80.2869297!16s%2Fg%2F11rhrw6lnm!19sChIJg9j2hLw5nDkRfSnVWt3Nb_c?authuser=0&hl=en&rclk=1","Kanpur Metro Depot","4.4","(28)","Government office","·","","·","F7RP+7QV Gurudev Chauraha","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very large metro dipo in kanpur metro project""",""
"https://www.google.com/maps/place/GEETA+NAGAR+METRO/data=!4m7!3m6!1s0x399c39d4b2ad111b:0xd3f187bc37396fb7!8m2!3d26.4879011!4d80.2911054!16s%2Fg%2F11rmr69qhl!19sChIJGxGtstQ5nDkRt285N7yH8dM?authuser=0&hl=en&rclk=1","GEETA NAGAR METRO","4.4","(7)","Metropolitan train company","·","","·","F7QR+5C9, NH 34","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Easy way to gone 🥰""",""
"https://www.google.com/maps/place/%E0%A4%B2%E0%A4%BE%E0%A4%B2+%E0%A4%87%E0%A4%AE%E0%A4%B2%E0%A5%80+%E0%A4%AE%E0%A5%87%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A5%8B+%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%87%E0%A4%B6%E0%A4%A8+Lal+Imli+Metro+Station/data=!4m7!3m6!1s0x399c3970871a9475:0x1cc8fdcc719c074b!8m2!3d26.4760622!4d80.3398928!16s%2Fg%2F11ry5tyrgr!19sChIJdZQah3A5nDkRSwecccz9yBw?authuser=0&hl=en&rclk=1","लाल इमली मेट्रो स्टेशन Lal Imli Metro Station","","","Transportation service","·","","F8GQ+CXC, Sultanpur - Korari Rd","","","Directions","","",""
"https://www.google.com/maps/place/Vasant+Vihar+Metro+Station+Parking+Area/data=!4m7!3m6!1s0x399c47e40a0c2889:0x748ee0bdd5b88f82!8m2!3d26.4162012!4d80.319161!16s%2Fg%2F11kqd2nm1l!19sChIJiSgMCuRHnDkRgo-41b3gjnQ?authuser=0&hl=en&rclk=1","Vasant Vihar Metro Station Parking Area","4.8","(4)","Public parking space","·","","·","C889+FMM","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Still under construction when completed will be a Landmark
Of the place""",""
"https://www.google.com/maps/place/L+L+R+hospital+metro/data=!4m7!3m6!1s0x399c39a5fe245f31:0x9a2e5c2df849d24b!8m2!3d26.4793574!4d80.312431!16s%2Fg%2F11sm9z0zfz!19sChIJMV8k_qU5nDkRS9JJ-C1cLpo?authuser=0&hl=en&rclk=1","L L R hospital metro","4.7","(30)","Metropolitan train company","·","","·","F8H6+PXV, Benajhabar Rd","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nice .. neat and clean",""
"https://www.google.com/maps/place/Shanti+Garden+metro+station/data=!4m7!3m6!1s0x399c47158ea442bd:0x94cbcf2367522d51!8m2!3d26.4293765!4d80.2904982!16s%2Fg%2F11rsg2ct9x!19sChIJvUKkjhVHnDkRUS1SZyPPy5Q?authuser=0&hl=en&rclk=1","Shanti Garden metro station","3.7","(3)","Hotel","·","","C7HR+Q55","","","Directions","","",""
"https://www.google.com/maps/place/Chunniganj/data=!4m7!3m6!1s0x399c389bcbcabaf3:0x527d44ca5975d08a!8m2!3d26.477189!4d80.336806!16s%2Fg%2F11ydb2f5sj!19sChIJ87rKy5s4nDkRitB1WcpEfVI?authuser=0&hl=en&rclk=1","Chunniganj","5.0","(2)","Subway station","","","","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""First",""
"https://www.google.com/maps/place/Transport+Nagar+Metro/data=!4m7!3m6!1s0x399c47f9fe486995:0xe0e3cdb5100656c7!8m2!3d26.4475378!4d80.3310529!16s%2Fg%2F11t42p03x4!19sChIJlWlI_vlHnDkRx1YGELXN4-A?authuser=0&hl=en&rclk=1","Transport Nagar Metro","2.0","(1)","Metropolitan train company","·","","·","No 133/76, near Puls Building","","Directions","","",""
"","","","","","","","","","","","","",""
